id,subname,subid,subname,subsubid,desc,position
,Maths,,"Shape, Space and Measures",,"Pupil can track quickly moving objects, e.g. pendulum. Pupil can track a ball as he/she rolls it away from themselves out of their immediate field of vision, e.g. rolls a ball off the table and watches it trace a path along the floor. ",c
,Maths,,"Shape, Space and Measures",,"Pupil can grasp two shapes at once and explore whether or not they fit together, e.g. interlocking objects.",d
,Maths,,"Shape, Space and Measures",,"Pupil independently explores shapes, feeling the edges, corners or curves for extended periods of time. ",e
,Maths,,"Shape, Space and Measures",,"Pupils search for objects that have gone out of sight, hearing or touch, demonstrating the beginning of object permanence, for example, searching for an object or sound when it is removed. Pupils match big objects and small objects, for example, finding a big football to place in a net with other big footballs, matching a small model car with a similar sized model car. They demonstrate interest in position and the relationship between objects, for example, stacking or joining objects or using construction materials.",P4
,Maths,,"Shape, Space and Measures",,Pupil joins or stacks like objects showing awareness of their relationship to each other.,a
,Maths,,"Shape, Space and Measures",,Pupil demonstrates random stacking or joining of objects. Pupil shows interest in the position of objects in relation to others.,b
,Maths,,"Shape, Space and Measures",,"Pupil can recognise the difference between the size of two objects by matching, e.g. large/big cup to large/big cup; small/little cup to small/little cup.",c
,Maths,,"Shape, Space and Measures",,Pupil searches for objects when object or sound is removed.,d
,Maths,,"Shape, Space and Measures",,Pupil pushes obstructions out of the way to obtain object.,e
,Maths,,"Shape, Space and Measures",," Pupils search intentionally for objects in their usual place, for example, going to the mathematics shelf for the box of shapes. They find big and small objects on request, for example, from a choice of two objects, identifying the big and small. They compare the overall size of one object with that of another where there is a marked difference, for example, they indicate which of two shoes is the bigger, and compare objects big boxes and small boxes. They explore the position of objects, for example, placing objects in and out of containers, placing objects inside and outside a hoop, fits as many objects as possible into a box.",P5
,Maths,,"Shape, Space and Measures",,From a choice of two objects pupil can identify the difference between large/big and small/little.,a
,Maths,,"Shape, Space and Measures",,"Pupil places objects in and out of containers/form/inset boards, according to target shape.",b
,Maths,,"Shape, Space and Measures",,"Pupil sorts two sets of like objects where there is a marked difference in size, e.g. large spoons and small spoons.",c
,Maths,,"Shape, Space and Measures",,"Pupil can compare the overall size of one object with another where there is a marked difference, e.g. they indicate which of two shoes is the bigger. ",d
,Maths,,"Shape, Space and Measures",,"Pupil is aware of usual location of familiar objects, e.g. coat, cup, etc. Pupil begins to use pictoral/symbol timetable for sequencing of activities, e.g. 'NOW' – work, 'THEN' – snack.",e
,Maths,,"Shape, Space and Measures",,"Pupils search for objects not found in their usual place demonstrating their understanding of object permanence, for example, looking for cups when they are not in their usual cupboard. They compare the overall size of one object with that of another where the difference is not great, for example, identifying the bigger of two Russian Dolls or nesting cubes. They manipulate three-dimensional shapes, for example, putting shapes into a shape sorter, using 3-D objects to build and manipulate in roleplay, rolling a tube in a race with a partner. They show understanding of words signs and symbols that describe positions, for example, responding to a request to put an object in, on, under, inside another object.",P6
,Maths,,"Shape, Space and Measures",,"From a choice of two objects where the difference is not great, pupil can compare objects to identify which is which, e.g. practically manipulating the objects using nesting cubes.  ",a
,Maths,,"Shape, Space and Measures",,"Pupil sorts two sets of objects where the difference is not great, e.g. sorts similar but different size 'Compare bears' or 10p and 5p coins.  ",b
,Maths,,"Shape, Space and Measures",,"Pupil can manipulate three dimensional shapes, e.g. putting shapes into a shape sorter, building a model with 3-D shapes.  ",c
,Maths,,"Shape, Space and Measures",,"Pupil responds on request to place objects, 'in', 'on', 'under' and 'inside' in practical situations, e.g. 'Put the coins in the purse'. ",d
,Maths,,"Shape, Space and Measures",,Pupil searches for objects not found in their usual place. Pupil sequences 2/3 photos/symbols of daily activities. ,e
,Maths,,"Shape, Space and Measures",," Pupils respond to forwards and backwards, for example, moving forwards and backwards on request, recognising when a vehicle is moving forwards and backwards, moving a counter forward or backward on a board game. They pick out described shapes from a collection, for example, picking out all the round shapes in the classroom, finding shapes with straight edges, fitting shapes into matching holes. They use familiar words in practical situations when they compare sizes and quantities, for example, using the words 'heavy' and 'light', 'more' and 'less', 'enough' or 'not enough' to compare objects or quantities.",P7
,Maths,,"Shape, Space and Measures",,Pupil sequences 3/4 pictures/symbols of daily activities.,a
,Maths,,"Shape, Space and Measures",,"In practical situations pupil is able to use the terms 'more', 'less', 'enough', 'not enough' to compare two objects or quantities, e.g. when pouring drinks and comparing to their friends, have they got 'enough' or 'not enough'. ",b
,Maths,,"Shape, Space and Measures",,"Pupil can indicate 'heavy' and 'light', when comparing two objects where there is a marked difference, e.g. they understand that although an object is smaller it can be 'heavy'.",c
,Maths,,"Shape, Space and Measures",,Pupil actively moves forwards and backwards or can indicate the direction in which he/she is being moved.  ,d
,Maths,,"Shape, Space and Measures",,"From a collection of regular shapes, pupil can pick out shapes with common features, e.g. all round shapes, shapes with corners, shapes with flat surfaces (in this instance it is not useful to use size as a feature), etc.  ",e
,Maths,,"Shape, Space and Measures",,"Pupils compare objects directly, focusing on one dimension such as length or height where the difference is marked and can indicate the long one or the tall one, for example, comparing two plants, placed side by side and indicate the tall one or comparing two zips and indicating the long one. They show awareness of time, through some familiarity with names of the days of the week and significant times in their day, such as meal times, bed times, for example, ordering events in their day on a visual daily timetable, understanding and using names of days of the week, no school on Saturday or Sunday, swimming on Wednesday. They respond to mathematical vocabulary such as' straight', 'circle', 'larger' to describe the shape and size of solids and flat shapes, for example, when shopping. Pupils find boxes with straight edges to pack into the carrier bag; identify the larger circle when stacking two cans. They describe shapes in simple models, pictures and patterns, for example, stamping shapes in sand and describing them, using a set of flat shapes to make pictures or patterns, naming some of the shapes used, identifying specific shapes from pictures, simple models or patterns.",P8
,Maths,,"Shape, Space and Measures",,"Pupil begins to understand and use in practical contexts names of days of the week, e.g. 'today', swimming on Tuesday; lie-in on Sunday; football on Saturday.",a
,Maths,,"Shape, Space and Measures",,"Pupil recognises structure in their day through ordering significant events, e.g. First: dinnertime; then: play-time or leisure; next: swimming; finish: home-time. Pupil begins to use 'o'clock'.  ",b
,Maths,,"Shape, Space and Measures",,"Pupil identifies specific shapes from pictures, simple models or patterns and can identify some of the shapes used within the whole, e.g. circles. ",c
,Maths,,"Shape, Space and Measures",,"Pupil responds to mathematical vocabulary, such as ‘straight’, ‘circle’, ‘larger’, to describe the shape and size of shapes, e.g. identifies the circles or triangles from a collection of mixed shapes. Identifies larger circle from a choice of two circles.",d
,Maths,,"Shape, Space and Measures",,Pupil compares two objects directly side by side using a common baseline and indicates which is 'longer' or 'taller'.  ,e
,Maths,,"Shape, Space and Measures",,"When working with 2-D and 3-D shapes, pupils use everyday language to describe properties and positions. They measures and order objects using direct comparison, and order events.",L1
,Maths,,"Shape, Space and Measures",,"Pupil can match and sort 2-D and 3-D shapes according to a given feature, e.g. find a shape with corners/no corners, straight edges/no straight edges.Pupil can use directional and/or positional language when giving instructions, e.g. gives instructions to another pupil using words such as forwards, backwards, turn, behind, under, on top of, next to, in between, over, under, before, opposite, top, bottom, side, to find an end point or object.Pupil can use the vocabulary of time, e.g. days of the week, day, night, hour, o'clock, yesterday and tomorrow.",a
,Maths,,"Shape, Space and Measures",,"Pupil can copy and construct and/or continue a simple repeating pattern with 2-D shapes, e.g. red square, yellow triangle, red square, yellow triangle. Square, circle, triangle... where all the shapes are the same colour.Pupil can follow directional language when given instructions, e.g. follows instructions containing the words forwards, backwards, turn.Pupil can correctly order events, e.g. order pictures taken from a story. Order pictures of the life cycle of a butterfly.",b
,Maths,,"Shape, Space and Measures",,"Pupil constructs and describes models with 3-D shapes, varying in shape, size and texture, e.g. make a robot from junk modelling materials and describe the shapes they have used.Pupil can recognise and follow directions of movement as indicated by symbols such as arrows or footprints, e.g. given pictorial instructions or arrows on a card can follow these instructions to find an end point or object. Use the arrows on the keypad to direct a simple programmable toy.Pupil can use the language of direct comparison, e.g. respond to and use the language of comparison; longer/ longest, shorter/, shortest, more/less, heavier/lighter.",c
,Maths,,"Shape, Space and Measures",,"Pupil uses everyday language to describe properties of 3-D shapes, e.g. uses properties such as roll, stack, corner, edge, face, solid, hollow when talking about objects and shapes. Pupil can follow an instruction to place an item in the correct position, e.g. follows instructions containing the words behind, under, on top of, next to, in between, over, under, before, opposite, top, bottom, side.  
Pupil can order three or more objects using direct comparison where there is a significant difference, e.g. the capacity of objects such as an egg-cup, a jug and a bucket. The length of a pencil, a table and the room. The mass of a raisin, an exercise book and a bag of sugar.  
",d
,Maths,,"Shape, Space and Measures",,"Pupil uses everyday language to describe properties of 2-D shapes, e.g. uses properties such as large, side, small, straight, curved when talking about objects and shapes.  
Pupil uses everyday language to describe position of objects, e.g. uses words such as behind, under, on top of, next to, in between, over, under, before, opposite, top, bottom, side, when describing pictures or objects.  
Pupil can measure objects using direct comparison, e.g. find an object that is longer/shorter than a metre, heavier/ lighter than 500 grams, holds more/less than 1 litre. Use a balance to compare two weights. Compare the height of two children standing back to back. Compare the capacity of two containers by pouring the contents of one into the other.  
",e
,Maths,,"Shape, Space and Measures",,"Pupils use mathematical names for common 3-D and 2-D shapes and describe their properties, including numbers of sides and corners. They distinguish between straight and turning movements, understand angle as a measurement of turn and recognise right angles in turns. They begin to use everyday non-standard and standard units to measure length and mass.",L2
,Maths,,"Shape, Space and Measures",,"Pupil can describe 2-D and 3-D shapes according to their properties, using correct terminology such as 'edge', 'face' and 'corner', e.g. See folder for example.Pupil can use a time line to order daily events and discuss using correct vocabulary such as 'before', 'after', 'later', 'yesterday', 'tomorrow', etc, e.g. using a timeline with o'clock times, can the children correctly place events from the day and discuss the positions chosen, 'We finish school at 3.30pm so I have put that halfway between 3 o'clock and 4 o'clock.'  
Pupil can use a time line to order daily events and discuss using correct vocabulary such as 'before', 'after', 'later', 'yesterday', 'tomorrow', etc, e.g. using a timeline with o'clock times, can the children correctly place events from the day and discuss the positions chosen, 'We finish school at 3.30pm so I have put that halfway between 3 o'clock and 4 o'clock.'  
",a
,Maths,,"Shape, Space and Measures",,"Pupil can make 2-D and 3-D shapes and describe their properties, e.g. use art straws to make a shape with four sides. Who has a square? How do you know? Make a shape with six faces. What is it called? Are all the faces the same?Pupil can read time to the hour, half hour and quarter hour on both digital and analogue clocks, e.g. match cards with analogue and digital times. Read the classroom clock at key points during the day.  
Pupil can estimate and then use the appropriate measuring tool to determine length, mass and capacity, e.g. show me something you would use to measure the length of a pencil/stool/ classroom/the height of a flower. Repeat with mass and capacity.  
",b
,Maths,,"Shape, Space and Measures",,"Pupil can name and visualise common 2-D and 3-D shapes including pentagon, hexagon, octagon, cylinder, sphere and pyramid, e.g. using a geoboard, how can you change a square to make it into a pentagon? See folder for more examples.Pupil can recognise and draw lines of symmetry in pictures and patterns, e.g. See folder for example.  Pupil can use standard measures to find length to the nearest metre, mass to the nearest kilogramme and capacity to the nearest litre, e.g. Use a metre stick to measure objects to the nearest metre, 'The classroom measures about 6 metres.' Repeat with kilograms and litres.  
",c
,Maths,,"Shape, Space and Measures",,"Pupil can identify right angles in shapes around them, e.g. show me three objects that have a right angle. Tell me how you know. Use a right angle checker to support with identification.Pupil can distinguish between straight and turning movements including left and right, clockwise and anticlockwise and use these to give directions, e.g. during a PE session, follow instructions for moving around the playground where the terms clockwise, anticlockwise, left and right are used. Work with another and give and receive directions for following a route chalked onto the playground.  
Pupil can use everyday non standard measures to find length, mass or capacity, e.g. use non standard measures, such as paperclips to measure the length of a variety of objects around the classroom. Answer questions such as 'Which is the shortest?' Use a pan balance and non standard units such as cubes to measure the mass of a variety of objects. Answer questions such as 'Which is heaviest?' Use a non standard measure such as a cup and dry sand to measure the capacity of a variety of objects. Answer questions such as 'Which holds the most?'  
",d
,Maths,,"Shape, Space and Measures",,"Pupil can understand angle as a measurement of turn – whole turns, half turns and quarter turns and understand that a quarter turn is a right angle, e.g. identify a picture that has been rotated through half a turn. Ask child to turn through different amounts of turn.Pupil can sort 2-D and 3- D shapes in more than one way, e.g. See folder for examples.  
Pupil can use ordinal numbers to describe the position of objects and when giving directions, e.g. when giving directions for following a route use phrases such as 'Take the third turning on the right'. 'D' is the fourth letter of the alphabet and 'X' is the twenty-fourth.  
",e
,Maths,,"Shape, Space and Measures",,"Pupils classify 3-D and 2-D shapes in various ways using mathematical properties such as reflective symmetry for 2-D shapes. They use non-standard units, standard metric units of length, capacity and mass and standard units of time, in a range of contexts.",L3
,Maths,,"Shape, Space and Measures",,"Pupil understands area as a measure of surface and can find area of shapes by counting squares, e.g. See folder for examples. Pupil understands the mathematical terms 'regular' and 'irregular' and can use this to classify shapes, e.g. using the Geoboard create a regular hexagon and an irregular hexagon. Which is which? How do you know? Pupil can relate 3-D shapes to drawings and photographs of them
",a
,Maths,,"Shape, Space and Measures",,"Pupil recognises some nets of familiar 3-D shapes, e.g. cube, cuboid, triangular prism, square-based pyramid, e.g. show a selection of nets. Which is the net of the triangular prism. How do you know? Pupil recognises angles which are bigger/smaller than 90° and begins to know the terms 'obtuse' and 'acute', e.g. find a shape with an obtuse angle. How do you know it is obtuse? See folder for more examples. Pupil recognises right angles in shapes in different orientations, e.g. identify the right angles in the following shapes:",b
,Maths,,"Shape, Space and Measures",,"Pupil can use time in problem solving situations, e.g. lunch takes 45 minutes, it starts at 1 o'clock, at what time does it end? If the time is 7 am, what time will it be in six hours? Write your answer using am or pm. Two boys play a game of football. They play for 45 minutes. If they finished their game at 3:30pm, at what time did they start? Pupil can give equivalence of metres to kilometres, centimetres to metres, grams to kilograms, millilitres to litres and can recognise that 3.5m represents three and a half metres, e.g. how many centimetres are there in half a metre? How many grams equals one kilogram? How many millimetres are there in one centimetre? Pupil can sort and classify 2-D and 3-D shapes in a variety of ways including reflective symmetry and number of right angles, e.g. given a group of shapes, identify properties that are the same for all of them, e.g. they all have two lines of symmetry, they all have more than one right angle. Place shapes in a Carroll diagram with one in an incorrect position. Ask children to identify it and give reasons. Ask children to identify an unseen shape by asking questions about its properties.",c
,Maths,,"Shape, Space and Measures",,"Pupil can use suitable standard units to estimate then measure length, mass and capacity, e.g. given three containers, put them in order from the one that holds the most to the one that holds the least. Measure the capacity using a measuring cylinder. How much material do we need to cover the table? How many jugs of orange juice will we need for everyone in the class to have a cup of orange? Pupil can recognise shapes when represented in different orientations, e.g. See folder for examples. Pupil can read simple scales to the nearest marked division, e.g. increments of 2, 5 or 10, and can use a ruler to measure a line to the nearest ½ cm, e.g. From a set of lines drawn on paper, identify the line that measures 13½ cm.",d
,Maths,,"Shape, Space and Measures",,"Pupil can read time to the nearest minute on analogue and digital clock, e.g. using the classroom clock, tell time at various points throughout the day. Know that 5:32, or 32 minutes past 5 or 28 minutes to 6 are all equivalent. Pupil understands perimeter as a measure of length and can calculate the perimeter of simple shapes, e.g. draw a rectangle on squared paper. Identify the perimeter by counting the squares around the outside of the shape. Draw two rectangles with the same perimeter. Pupil can show the reflective symmetry of a shape by folding it and recognise when a shape does not have a line of symmetry. Pupil can reflect shapes, presented on a grid, in a vertical or horizontal mirror line.",e
,Maths,,"Shape, Space and Measures",,"Pupils make 3-D mathematical models by linking given faces or edges, draw common 2-D shapes in different orientations on grids. They reflect simple shapes in a mirror line. They choose and use appropriate units and instruments, interpreting, with appropriate accuracy, numbers on a range of measuring instruments. They find perimeters of simple shapes and find areas by counting squares. ",L4
,Maths,,"Shape, Space and Measures",,"Pupil can visualise shapes and recognise them in different orientations, e.g. visualise a square. Now visualise a right angled triangle sliding into the top right hand corner of the square. Draw your new shape. What is it called? How do you know? Pupil can measure and draw angles accurately to the nearest 5°, e.g. measure this angle: Draw me an angle greater than 45°. Pupil can recognise an oblique line of symmetry in a shape, e.g. identify all the lines of symmetry in this shape.",a
,Maths,,"Shape, Space and Measures",,"Pupil can recognise and name the properties of different types of triangle, such as scalene, equilateral, isosceles and right- angled in different sizes and orientations, e.g. convince me that a triangle is isosceles, equilateral, right-angled, scalene. How do you know? How many different triangles can you draw where one side is 6cm long? Can you name them? Pupil can measure and represent measurements accurately to the nearest unit, e.g. Add another 275ml of liquid to the container that already holds 420ml. How much does it now hold? See folder for more examples. Pupil can recognise and name several quadrilaterals including trapezium, parallelogram and rhombus and know that a square is a special rectangle and why, e.g. say what is similar and different about a variety of given quadrilaterals.",b
,Maths,,"Shape, Space and Measures",,"Pupil can find areas by counting squares or using 'number of squares in a row times number of rows', dividing shapes into rectangles where necessary, e.g. find the area of this shape. Pupil can find the perimeter of simple shapes, e.g. draw me several shapes that have a perimeter of 32cm. How many can you make? Pupil can use units of time including calculating time durations. Pupil can read and interpret timetables, e.g. See folder for example.",c
,Maths,,"Shape, Space and Measures",,"Pupil chooses suitable units and instruments to measure length, mass and capacity, e.g. what instrument and unit of measure should we use to measure the length of the classroom; mass of a bag of grapes; capacity of a milk bottle. Make 3-D models by linking given faces or edges, e.g. given a variety of nets, identify which of these nets will make a cube. Given five of the six faces of a cube in net form, identify where the sixth face would need to be attached to enable an enclosed cube to be made. Pupil can rotate a simple shape about a vertex or its centre.",d
,Maths,,"Shape, Space and Measures",,"Pupil can use mathematical terms, such as horizontal, vertical and congruent, e.g. show a photograph and ask children to identify lines that are horizontal or vertical. Identify a triangle that is congruent to the one shown. Pupil can sketch the reflection of simple shapes in a mirror line presented at 45° whether the shape touches the line or not and begin to use the distance of vertices from the mirror line to reflect shapes more accurately, e.g. See folder for example. Pupil can translate shapes horizontally or vertically, e.g. translate this shape 3 squares to the right and 2 squares down. Draw the new shape. Sometimes/always/ never true: Reflected shapes are the same size and shape as the original shape.",e
,Maths,,Using and Applying,,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i) 
,Maths,,Using and Applying,,Pupil accepts adult physical prompting during an activity. ,a
,Maths,,Using and Applying,,Pupil changes facial expression or body position in response to tactile or visual stimuli during a mathematical activity,b
,Maths,,Using and Applying,,"Pupil shows resistance or negative response to sensory stimuli, e.g. withdraws hand or grimaces to show displeasure.",c
,Maths,,Using and Applying,,Pupil remains passive or shows no observable response,d
,Maths,,Using and Applying,,Pupil shows a reflex response to sensory stimuli. ,e
,Maths,,Using and Applying,,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, grasping objects briefly when they are placed in their hand. They may give intermittent reactions, for example, sometimes showing surprise at the sudden presence or absence of an event or object.",P1 (ii)
,Maths,,Using and Applying,,"Pupil responds to a familiar activity by an occasional response, e.g. vocalisation. ",a
,Maths,,Using and Applying,,"Pupil can locate an object presented in different positions, visual or auditory.",b
,Maths,,Using and Applying,,Pupil will maintain contact with a mathematical resource for a short period of time.,c
,Maths,,Using and Applying,,Pupil may briefly turn head or smile at a familiar sound or situation. ,d
,Maths,,Using and Applying,,"Pupil demonstrates awareness by any observable response, e.g. facial expression or body movement.",e
,Maths,,Using and Applying,,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, becoming excited or alarmed when a routine is broken. They begin to show interest in people, events and objects, for example, tracking objects briefly across their field of awareness. They accept and engage in coactive exploration, for example, lifting objects briefly towards the face in shared investigations.",P2 (i)
,Maths,,Using and Applying,,Pupil can track an object horizontally when held at eye level or pupil shows a distinct recognition of a sound-making object and tracks its sound from side to side. ,a
,Maths,,Using and Applying,,"Pupil accepts partial prompting to engage in exploring new objects and activities, e.g. lifting them towards the face.
",b
,Maths,,Using and Applying,,Pupil begins to interact consistently to familiar people and activities.,c
,Maths,,Using and Applying,,Pupil can locate an object presented in different positions.,d
,Maths,,Using and Applying,,Pupil begins to respond consistently to an event or activity.,e
,Maths,,Using and Applying,," Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, showing a desire to hold a favourite object. They recognise familiar people, events and objects, for example, looking towards their own lunch box when offered a selection. They perform actions, often by trial and improvement, and they remember learned responses over short periods of time, for example, repeating an action with a familiar item of equipment. They cooperate with shared exploration and supported participation, for example, handling and feeling the texture of objects passed to them. ",P2 (ii)
,Maths,,Using and Applying,,"Pupil will continue an action or interaction with an adult by repeating a sound or action, e.g. pupil responds with an ‘a’ sound when you say ‘a’; when their hand is placed on a drum and they feel the vibration of a drum beat, they tap the drum in response. ",a
,Maths,,Using and Applying,,"Pupil can, using trial and error, operate a simple switch activated toy, e.g. pop up toy or jack in a box.",b
,Maths,,Using and Applying,,"Pupil can show consistent preference for favoured items, e.g. reach for/eye point to favourite item from a choice of two. ",c
,Maths,,Using and Applying,,Pupil can reach for or look at objects when placed within his/her visual/aural field.,d
,Maths,,Using and Applying,,"Pupil can explore objects by touch, banging them, moving them, dropping them, etc",e
,Maths,,Using and Applying,,"Pupils begin to communicate intentionally. They seek attention through eye contact, gesture or action. They request events or activities, for example, pushing an item of equipment towards a member of staff. They participate in shared activities with less support. They sustain concentration for short periods. They explore materials in increasingly complex ways, for example, banging or rubbing objects together. They observe the results of their own actions with interest, for example, as they throw or drop objects on to different surfaces. They remember learned responses over more extended periods, for example, remembering how to activate a pop-up object from a previous lesson.",P3 (i)
,Maths,,Using and Applying,,"Pupil can retrieve an object which has been seen or heard and then placed in an open container, e.g. when a ball is placed in a container large enough for the child to reach into.",a
,Maths,,Using and Applying,,"Pupil will observe the result of their own actions with interest, e.g. listen to/watch the result of a switch activated operation (pop up toy or jack in a box). ",b
,Maths,,Using and Applying,,Pupil can remember a learned response from day to day (as opposed to remembering daily routines).,c
,Maths,,Using and Applying,,"Pupil pushes items towards adult or pulls adult’s hand towards them, as a means of requesting more of a specific activity.",d
,Maths,,Using and Applying,,"Pupil will explore objects in increasingly complex ways, using more than one action, e.g. tapping, turning, shaking, rolling, etc",e
,Maths,,Using and Applying,,"Pupils use emerging conventional communication. They greet known people and may initiate interactions and activities, for example, dropping objects to prompt interventions from adults. They can remember learned responses over increasing periods of time and may anticipate known events, for example, collecting coats and bags at the end of the school day. They may respond to options and choices with actions or gestures, for example, pointing to or giving one object rather than another. They actively explore objects and events for more extended periods, for example, manipulating objects in piles, groups or stacks. They apply potential solutions systematically to problems, for example, using items of equipment purposefully and appropriately.",P3 (ii)
,Maths,,Using and Applying,,Pupil can intentionally attract the attention of an adult to assist them in retrieving an object that has been placed just out of their reach.,a
,Maths,,Using and Applying,,"Pupil will respond to options and choices by accepting and rejecting, e.g. shaking the head, pushing an item away or intentionally discarding an item.",b
,Maths,,Using and Applying,,"Pupil can grasp two shapes at once and explore whether or not they fit together, e.g. interlocking objects.",c
,Maths,,Using and Applying,,"Pupil can track quickly moving objects, e.g. pendulum. Pupil can track a ball as he/she rolls it away from themselves out of their immediate field of vision,e.g. rolls a ball off the table and watches it trace a path along the floor. ",d
,Maths,,Using and Applying,,"Pupil independently explores shapes, feeling the edges, corners or curves for extended periods of time. ",e
