id,subname,subid,subsubname,subsubid,desc,position
,PSD,,Interacting and Working with Others,," Pupils participate in a range of familiar group tasks. They are aware of their own and others' roles within the group and can contribute appropriately. They attend to what others say or do and take part in an interchange of information, ideas or opinions.",a
,PSD,,Interacting and Working with Others,,Pupil listens to what others say or watches what they do.,b
,PSD,,Interacting and Working with Others,,Pupil is aware of others' roles and contribution in familiar group tasks.,c
,PSD,,Interacting and Working with Others,,Pupil is aware of own role and contribution in familiar group tasks.,d
,PSD,,Interacting and Working with Others,,Pupil contributes to achievement of group task/goal without support. ,e
,PSD,,Interacting and Working with Others,,"Pupils are involved in a range of familiar group tasks. They are aware of when and how to lead, follow and start the activity. They communicate with members of a familiar group about the task, adding relevant detail and responding appropriately to others' actions, questions or comments.",PSD11
,PSD,,Interacting and Working with Others,,"Pupil responds appropriately to others' actions, questions or comments.",a
,PSD,,Interacting and Working with Others,,Pupil can communicate with a familiar group about a task adding relevant detail.,b
,PSD,,Interacting and Working with Others,,Pupil is aware of when and how to lead an activity.,c
,PSD,,Interacting and Working with Others,,Pupil is aware of how to follow or start an activity.,d
,PSD,,Interacting and Working with Others,,Pupil begins to initiate activity in a range of familiar group tasks.,e
,PSD,,Interacting and Working with Others,,"Pupils experience a range of supervised group activities. With support, they can take part as a group leader, follower, or initiator. They are aware of their own feelings and thoughts about the activity and can make choices based on these.",PSD12
,PSD,,Interacting and Working with Others,,Pupil is able to make choices about their role in an activity.,a
,PSD,,Interacting and Working with Others,,Pupil is aware of own feelings and thoughts about an activity.,b
,PSD,,Interacting and Working with Others,,"Pupil selects when to initiate or lead a group activity, with occasional prompts. ",c
,PSD,,Interacting and Working with Others,,"Pupil knows when to take part as a follower in group activity, with occasional prompts.",d
,PSD,,Interacting and Working with Others,,Pupil experiences a range of supervised but unfamiliar group activities.,e
,PSD,,Interacting and Working with Others,,Pupils participate in a range of supervised group activities. With encouragement from other peers or adults they can express their feelings and thoughts about the activity and adapt their ideas or suggestions when communicating with other members of the group.,PSD13
,PSD,,Interacting and Working with Others,,"Pupil can consistently express feelings, thoughts when communicating with a group.",a
,PSD,,Interacting and Working with Others,,Pupil adapts ideas when communicating with a group with encouragement from peers.,b
,PSD,,Interacting and Working with Others,,Pupil adapts ideas when communicating with a group with encouragement from an adult.,c
,PSD,,Interacting and Working with Others,,Pupil expresses feelings with encouragement.,d
,PSD,,Interacting and Working with Others,,Pupil participates in a range of supervised activities. ,e
,PSD,,Interacting and Working with Others,,"Pupils are involved in a range of supervised group activities. They communicate their own feelings, thoughts and choices about the activity to other group members. They can constructively adapt their actions, ideas, or suggestions when communicating with other members of the group.",PSD14
,PSD,,Interacting and Working with Others,,Pupil communicates consistently with other members of a group.,a
,PSD,,Interacting and Working with Others,,Pupil is an equal member of a group. ,b
,PSD,,Interacting and Working with Others,,"Pupil can adapt ideas, actions and suggestions as a member of a group. ",c
,PSD,,Interacting and Working with Others,,"Pupil can communicate feelings, thoughts and choices to group members.",d
,PSD,,Interacting and Working with Others,,Pupil gets involved with a range of supervised group activities.,e
,PSD,,Interacting and Working with Others,,"Pupils participate in a range of familiar and unfamiliar group activities. They communicate confidently with other group members, identifying roles and aims. They are able to take on and carry out their agreed role. They express their feelings, thoughts, ideas about the activity and are able to consider those of other members of the group.",PSD15
,PSD,,Interacting and Working with Others,,Pupil considers other group members.,a
,PSD,,Interacting and Working with Others,,"Pupil expresses feelings, thoughts or ideas about an activity. ",b
,PSD,,Interacting and Working with Others,,Pupil identifies roles and aims in a group.,c
,PSD,,Interacting and Working with Others,,Pupil communicates confidently with other group members. ,d
,PSD,,Interacting and Working with Others,,Pupil participates in familiar and unfamiliar group activities. ,e
,PSD,,Interacting and Working with Others,,Pupil behaves respectfully towards staff and shows respect to other pupils and property.Pupil only interrupts and seeks attention appropriately.Pupil is physically peaceable.,PSD16
,PSD,,Interacting and Working with Others,,Pupil does not seek to attract inappropriate attention in the classroom.Pupil avoids involvement in conflict situations.Pupil approaches conflict with maturity.,a
,PSD,,Interacting and Working with Others,,Pupil acts in a manner appropriate to the classroom situation.,b
,PSD,,Interacting and Working with Others,,Pupil respects the property of others e.g. takes care of school property.,c
,PSD,,Interacting and Working with Others,,Pupil respects the views or rights of other pupils and avoids bullying or intimidation.Pupil treats other pupils as equals and does not dominate them by intimidation or abuse.Pupil respects other pupils and uses appropriate language.,d
,PSD,,Interacting and Working with Others,,Pupil interacts politely with the teacher.Pupil respects the teacher and is co-operative and compliant; responding positively to instruction.,e
,PSD,,Independent and Organisational Skills,,"Pupils are beginning to show sensory awareness in relation to a range of people, objects and materials in everyday contexts. They show reflex responses to sensory stimuli, for example, startle response.",PSD1
,PSD,,Independent and Organisational Skills,,"Pupil interacts with people, turning to a voice.Pupil looks/smiles at familiar adult.Pupil follows object with eyes/touch/gesture.",a
,PSD,,Independent and Organisational Skills,,"Pupil makes sounds, gestures to communicate basic needs, e.g. quietens / stops crying at the sound of a familiar sound or voice or cessation of continuous sound.",b
,PSD,,Independent and Organisational Skills,,Pupil pays attention to surroundings. Pupil accepts and is comforted by appropriate physical contact.,c
,PSD,,Independent and Organisational Skills,,"Pupil stills in response to a sound, voice, surroundings, e.g. startled by sudden noise. ",d
,PSD,,Independent and Organisational Skills,,Pupil shows intolerance to a range of sensory stimuli.,e
,PSD,,Independent and Organisational Skills,,"Pupils perform some actions using trial and error and show reactive responses to familiar people and objects, such as reaching and holding objects, smiling and turning to familiar voices. They make sounds or gestures to express simple needs, wants or feelings in response to their immediate environment, for example, protesting or requesting, using facial expression to enhance meaning.",PSD2
,PSD,,Independent and Organisational Skills,,Pupil makes sounds or gestures to express simple wants or feelings.,a
,PSD,,Independent and Organisational Skills,,Pupil makes sounds or gestures to express simple needs.,b
,PSD,,Independent and Organisational Skills,,Pupil shows reactive responses to familiar objects including reaching and holding.,c
,PSD,,Independent and Organisational Skills,,"Pupil shows reactive responses to familiar people, e.g. smiling.",d
,PSD,,Independent and Organisational Skills,,Pupil performs some actions using trial and improvement.,e
,PSD,,Independent and Organisational Skills,,"Pupils show anticipation in response to familiar people, routines, activities and actions and respond appropriately to them. They explore or manipulate objects, toys or other equipment. They are able to communicate simple choices, likes and dislikes. They can communicate, using different tones and sounds and use some vocalisations and/or gestures to communicate.",PSD3
,PSD,,Independent and Organisational Skills,,"Pupil explores or manipulates objects, toys or equipment.",a
,PSD,,Independent and Organisational Skills,,Pupil shows anticipation in response to familiar people and responds appropriately.,b
,PSD,,Independent and Organisational Skills,,"Pupil shows anticipation in response to familiar routines or activities, e.g.Pupil recognises that being taken into the dining room indicates meal-time.",c
,PSD,,Independent and Organisational Skills,,"Pupil communicates simple choices, likes or dislikes.",d
,PSD,,Independent and Organisational Skills,,Pupil communicates using different sounds and/or gestures.,e
,PSD,,Independent and Organisational Skills,,Pupils follow familiar routines and take part in familiar tasks or activities with support from others. They recognise the resources needed for familiar activities.,PSD4
,PSD,,Independent and Organisational Skills,,Pupil selects resources for familiar activities with prompts.,a
,PSD,,Independent and Organisational Skills,,Pupil recognises the resources used for familiar activities.,b
,PSD,,Independent and Organisational Skills,,Pupil takes part in familiar tasks or activities with support from others.,c
,PSD,,Independent and Organisational Skills,,Pupil follows familiar routines with support.,d
,PSD,,Independent and Organisational Skills,,Pupil responds to cues for familiar routines/activities with prompts.,e
,PSD,,Independent and Organisational Skills,,"Pupils are able to anticipate the next step in a familiar routine or activity and perform or communicate this. They are able to anticipate outcomes of their own actions. With support, they search out and use resources needed for familiar activities.",PSD5
,PSD,,Independent and Organisational Skills,,Pupil searches out and uses resources for familiar activities with support.,a
,PSD,,Independent and Organisational Skills,,Pupil anticipates outcomes of their own actions.,b
,PSD,,Independent and Organisational Skills,,Pupil predicts outcomes related to familiar activities.,c
,PSD,,Independent and Organisational Skills,,Pupil shows awareness that actions have consequences.,d
,PSD,,Independent and Organisational Skills,,Pupil anticipates the next step in familiar routine/activity.,e
,PSD,,Independent and Organisational Skills,,Pupils carry out routine activities in a familiar context. They can search out and use resources for familiar tasks. They make initiations to experience new or untried activities or tasks but require support to take part.,PSD6
,PSD,,Independent and Organisational Skills,,Pupil takes part actively in new/untried activities/tasks with support.,a
,PSD,,Independent and Organisational Skills,,Pupil initiates actions within untried/new activities/tasks with support.,b
,PSD,,Independent and Organisational Skills,,Pupil indicates the need to experience and try out new activities with support.,c
,PSD,,Independent and Organisational Skills,,Pupil searches out and uses resources for familiar tasks independently.,d
,PSD,,Independent and Organisational Skills,,Pupil carries out routine activities in a familiar context independently.,e
,PSD,,Independent and Organisational Skills,,Pupils can move onto new self-chosen or directed activities with support. They can search out and use resources for these tasks and activities with support.,PSD7
,PSD,,Independent and Organisational Skills,,Pupil can use resources for new tasks with support.,a
,PSD,,Independent and Organisational Skills,,Pupil can search out resources for self-chosen activity without support.,b
,PSD,,Independent and Organisational Skills,,Pupil can search out resources for self-chosen activity with support. ,c
,PSD,,Independent and Organisational Skills,,Pupil can move to new self-chosen activity with support.,d
,PSD,,Independent and Organisational Skills,,Pupil can move to directed activity with support.,e
,PSD,,Independent and Organisational Skills,,"Pupils can initiate and take part in new or untried tasks and activities, and show the ability to initiate ideas and to choose tasks independently. They can search out and use resources for these activities.",PSD8
,PSD,,Independent and Organisational Skills,,Pupil shows initiative to take on new or untried task. Selects and uses resources independently.,a
,PSD,,Independent and Organisational Skills,,Pupil can use resources appropriately within activity.,b
,PSD,,Independent and Organisational Skills,,Pupil can choose tasks independently.,c
,PSD,,Independent and Organisational Skills,,Pupil can initiate ideas in new activity.,d
,PSD,,Independent and Organisational Skills,,Pupil can initiate new activities and take part.,e
,PSD,,Independent and Organisational Skills,,Pupils are aware of the structure of familiar routines and activities and can contribute to the planning of these with some support. They are aware of different resources required for different familiar routines or activities.,PSD9
,PSD,,Independent and Organisational Skills,,Pupil begins to organise self with prompts for known activities or routines.,a
,PSD,,Independent and Organisational Skills,,Pupil demonstrates basic planning with prompts in carrying out familiar tasks. ,b
,PSD,,Independent and Organisational Skills,,Pupil is aware of contrasting resources needed for different routines or activities.,c
,PSD,,Independent and Organisational Skills,,Pupil can contribute to the planning of familiar routines with occasional prompts.,d
,PSD,,Independent and Organisational Skills,,Pupil is aware of the structure of familiar routines. ,e
,PSD,,Independent and Organisational Skills,,"Pupils are aware of the structure of familiar routines and activities and are beginning to be able to organise themselves independently. They participate with others in the planning of simple routines and tasks in familiar contexts. With support, they identify resources required for familiar, routine activities.",PSD10
,PSD,,Independent and Organisational Skills,,Pupil can participate with others in planning a simple task and can identify required resources.,a
,PSD,,Independent and Organisational Skills,,Pupil participates with others in planning simple task in familiar context without support.,b
,PSD,,Independent and Organisational Skills,,Pupil identifies resources with others for familiar activities with support thereby demonstrating planning. Then collects resources for these tasks independently.,c
,PSD,,Independent and Organisational Skills,,Pupil participates with others in planning simple tasks in familiar settings with occasional prompts.,d
,PSD,,Independent and Organisational Skills,,Pupil begins to organise self independently for known activities or routines.,e
,PSD,,Independent and Organisational Skills,," Pupils organise themselves independently for identified familiar routines and activities. They plan simple routines and tasks in a range of familiar contexts.Pupils identify resources required for familiar, routine activities.",PSD11
,PSD,,Independent and Organisational Skills,,"Working alone, pupil plans simple tasks, identifies and selects resources and organises self to carry out task independently. ",a
,PSD,,Independent and Organisational Skills,,"Working alone, pupil plans simple tasks, identifies and selects resources and organises self to carry out task with occasional prompts. ",b
,PSD,,Independent and Organisational Skills,,"Working alone, pupil can identify resources for familiar routines independently.",c
,PSD,,Independent and Organisational Skills,,Pupil can plan own activity independently in familiar contexts.,d
,PSD,,Independent and Organisational Skills,,Pupil Can organise self in familiar activities without support.,e
,PSD,,Independent and Organisational Skills,,Pupils take part in familiar and new routines and activities and are aware of the organisation required for new routines and activities. They discuss their own and others' contributions to activities. They identify and access resources for familiar activities.,PSD12
,PSD,,Independent and Organisational Skills,,Pupil can identify and access unseen resources for familiar activities.,a
,PSD,,Independent and Organisational Skills,,Pupil can discuss the contributions of others to activities.,b
,PSD,,Independent and Organisational Skills,,Pupil can discuss own contribution to activities.,c
,PSD,,Independent and Organisational Skills,,Pupil is aware of the organisation required for new routines and activities. ,d
,PSD,,Independent and Organisational Skills,,Pupil is aware of the organisation required for new routines and activities. ,e
,PSD,,Independent and Organisational Skills,,"Pupils take part in and organise themselves for familiar routines and activities and participate in the organisation of new activities. They discuss what they and others did in different activities and, with encouragement and questions, begin to reflect on future planning of similar activities. They begin to participate in identifying and accessing appropriate equipment for unfamiliar activities and tasks.",PSD13
,PSD,,Independent and Organisational Skills,,"As part of a small group, pupil begins to identify and access appropriate equipment for unfamiliar situations.",a
,PSD,,Independent and Organisational Skills,,Pupil can reflect on planning for similar activities with prompts. ,b
,PSD,,Independent and Organisational Skills,, Pupil can discuss what they and others did in different activities.,c
,PSD,,Independent and Organisational Skills,,"In a small group, pupil can participate in the organisation of new activities.",d
,PSD,,Independent and Organisational Skills,,"In a small group, pupil can organise and participate in familiar routines. ",e
,PSD,,Independent and Organisational Skills,,Pupils take part in and organise themselves for familiar and new routines and activities. They review activities and use this to inform future planning of similar activities.Pupils identify and access appropriate resources for familiar and unfamiliar activities and tasks.,PSD14
,PSD,,Independent and Organisational Skills,,"In a small group, pupil accepts, reflects and determines the planning and organisation of familiar and unfamiliar activities and tasks.",a
,PSD,,Independent and Organisational Skills,,"In a small group, pupil is able to review alternative strategies to plan for familiar and unfamiliar activities",b
,PSD,,Independent and Organisational Skills,,"In a group, pupil offers alternatives in determining the planning for familiar and unfamiliar activities. ",c
,PSD,,Independent and Organisational Skills,,Pupil accepts others' views to adjust own contribution to achievement of group task.,d
,PSD,,Independent and Organisational Skills,,Pupil reviews activities to inform future planning in a small group. ,e
,PSD,,Independent and Organisational Skills,,"Pupils plan activities and tasks, anticipating the consequences of actions and decisions. They review tasks and activities and use information gathered to inform future planning. They are able to adapt their actions in response to unfamiliar people and events.",PSD15
,PSD,,Independent and Organisational Skills,,Pupil anticipates and refines actions and decisions in response to unfamiliar people and events.,a
,PSD,,Independent and Organisational Skills,,Pupil can modify and adapt their actions to unfamiliar people and events. ,b
,PSD,,Independent and Organisational Skills,,Pupil can modify and adapt their actions in response to familiar people and events.,c
,PSD,,Independent and Organisational Skills,,Pupil gathers relevant information and uses it to inform future planning.,d
,PSD,,Independent and Organisational Skills,,Pupil anticipates and understands the consequences of their own actions and decisions. ,e
,PSD,,Independent and Organisational Skills,,"Pupils have empathy and show social awareness. The pupils show happiness, confidence, emotional stability and good self-control.",PSD16
,PSD,,Independent and Organisational Skills,,Pupil remains relatively emotionally stable and does not frequently swing from positive to negative moods.Pupil soon returns to a stable frame of mind after being upset and shows good emotional resilience.Pupil shows good self-control and is able to manage his/her feelings and actions to suit the situation.Pupil is able to delay gratification when required and can wait for rewards or pleasurable items for prolonged periods of time.,a
,PSD,,Independent and Organisational Skills,,"Pupil is typically forthcoming in group or class discussions.Pupil is willing to read out aloud in class and put their hand up to answer or ask appropriate questions.Pupil is not afraid of new things and does not fear failure when taking on new tasks.Pupil is confident in most situations, while not showing bravado, recklessness or unrealistic expectations of their confidence.",b
,PSD,,Independent and Organisational Skills,,Pupil is generally cheerful and not tearful and upset.Pupil shows capacity to have fun and display enjoyment of activities.Pupil appears happy by smiling and laughing when appropriate.,c
,PSD,,Independent and Organisational Skills,,Pupil is actively involved in activities within the classroom.Pupil has friends among peers.Pupil interacts appropriately with other people both verbally and non-verbally.Pupil is conscious of and understands the social interactions happening around them.,d
,PSD,,Independent and Organisational Skills,,"Pupil displays emotions appropriate to the situation.Pupil understands how others are feeling and tries to act in a way appropriate to the situation, e.g.Pupil may try to comfort someone who is upset or hurt.Pupil is tolerant and considerate to others.",e
,PSD,,Attention,,"Pupils are beginning to show sensory awareness in relation to a range of people, objects and materials in everyday contexts. They show reflex responses to sensory stimuli, for example, startle response.",PSD1
,PSD,,Attention,,"Pupil interacts with people, turning to a voice.Pupil looks/smiles at familiar adult.Pupil follows object with eyes/touch/gesture.",a
,PSD,,Attention,,"Pupil makes sounds, gestures to communicate basic needs, e.g. quietens / stops crying at the sound of a familiar sound or voice or cessation of continuous sound.",b
,PSD,,Attention,,Pupil pays attention to surroundings. Pupil accepts and is comforted by appropriate physical contact.,c
,PSD,,Attention,,"Pupil stills in response to a sound, voice, surroundings, e.g. startled by sudden noise. ",d
,PSD,,Attention,,Pupil shows intolerance to a range of sensory stimuli.,e
,PSD,,Attention,,"Pupils perform some actions using trial and error and show reactive responses to familiar people and objects, such as reaching and holding objects, smiling and turning to familiar voices. They make sounds or gestures to express simple needs, wants or feelings in response to their immediate environment, for example, protesting or requesting, using facial expression to enhance meaning.",PSD2
,PSD,,Attention,,Pupil makes sounds or gestures to express simple wants or feelings.,a
,PSD,,Attention,,Pupil makes sounds or gestures to express simple needs.,b
,PSD,,Attention,,Pupil shows reactive responses to familiar objects including reaching and holding.,c
,PSD,,Attention,,"Pupil shows reactive responses to familiar people, e.g. smiling. ",d
,PSD,,Attention,,Pupil performs some actions using trial and improvement. ,e
,PSD,,Attention,,"Pupils show anticipation in response to familiar people, routines, activities and actions and respond appropriately to them. They explore or manipulate objects, toys or other equipment. They are able to communicate simple choices, likes and dislikes. They can communicate, using different tones and sounds and use some vocalisations and/or gestures to communicate.",PSD3
,PSD,,Attention,,"Pupil explores or manipulates objects, toys or equipment.",a
,PSD,,Attention,,Pupil shows anticipation in response to familiar people and responds appropriately.,b
,PSD,,Attention,,"Pupil shows anticipation in response to familiar routines or activities, e.g.Pupil recognises that being taken into the dining room indicates meal-time.",c
,PSD,,Attention,,"Pupil communicates simple choices, likes or dislikes. ",d
,PSD,,Attention,,Pupil communicates using different sounds and/or gestures.,e
,PSD,,Attention,,Pupils engage in solitary play or work. They pay rigid attention to their own choice of activity. They can perform simple actions on request. They are highly distractible in activities or tasks led by others.,PSD4
,PSD,,Attention,,Pupil is able to pay attention to their own choice of activity but is highly distractible in activities or tasks led by others.,a
,PSD,,Attention,,Pupil begins a task with enthusiasm but requires adult support to complete.,b
,PSD,,Attention,,Pupil flits from one activity to another.,c
,PSD,,Attention,,"Pupil pays rigid attention to activity of own choice, i.e. becomes absorbed.",d
,PSD,,Attention,,Pupil's attention varies greatly depending on activity.,e
,PSD,,Attention,," Pupils' attention is focused on their own choice of activity, but they may pay fleeting attention to others' activities occurring in close proximity. They can attend to another's choice of activity such as adult directed activity but require one to one support to maintain their attention.",PSD5
,PSD,,Attention,,"Pupil can show inappropriate behaviour in relation to others, e.g. lunging towards peers/adults, spoils or destroys own work or that of others.",a
,PSD,,Attention,,Pupil becomes engrossed in own activity to the extent that he/she shows frustration when moved from one activity to another.,b
,PSD,,Attention,,Pupil attends to adult directed activity with 1:1 support for up to 5 minutes.,c
,PSD,,Attention,,Pupil focuses on own activity but tolerates activity of others nearby and pays fleeting attention.,d
,PSD,,Attention,,Pupil becomes over stimulated by own and/or adult-led activities.,e
,PSD,,Attention,,Pupils listen and respond to others during their own choice of activity. They can transfer their attention to another familiar adult directed task or activity but require one to one support to maintain their attention.,PSD6
,PSD,,Attention,,Pupil allows attention to be re-focused on another adult-led task or activity. ,a
,PSD,,Attention,,Pupil maintains attention to and remains on task in adult directed activity with 1:1 support.,b
,PSD,,Attention,,Pupil can transfer attention to adult-led activity or task with 1:1 support. ,c
,PSD,,Attention,,Pupil can transfer attention to another familiar adult with 1:1 support.,d
,PSD,,Attention,,Pupil can transfer attention to another familiar adult with 1:1 support.,e
,PSD,,Attention,," Pupils can transfer their attention to both new and familiar tasks and activities. They maintain their attention to familiar or enjoyable joint and small group activities with constant direction or support, for example, adult leading a small group activity.",PSD7
,PSD,,Attention,,Pupil follows rules/boundaries in small group activities with 1:1 support.,a
,PSD,,Attention,,Pupil begins to understand that tasks/activities have simple routines with rules/ boundaries to follow.,b
,PSD,,Attention,,Pupil seeks constant reassurance by repeat questioning or action in small group activities. ,c
,PSD,,Attention,,Pupil can take part as a member of a group for a familiar or enjoyable joint activity with 1:1 support.,d
,PSD,,Attention,,Pupil can transfer their attention to a familiar task/activity without prompts.,e
,PSD,,Attention,,"Pupils maintain attention to their own choice of activity, while also responding to other pupils or adults. They maintain their attention to familiar or enjoyable joint and small group activities, for example, listening to and responding to stories or songs with intermittent support, for example, verbal, physical prompting.",PSD8
,PSD,,Attention,,Pupil recognises and responds to the order within a small group when taking turns with minimal prompts.,a
,PSD,,Attention,,Pupil demonstrates turn-taking in familiar situations with minimal prompts.,b
,PSD,,Attention,,Pupil understands concept of waiting a turn in small group.,c
,PSD,,Attention,,Pupil awaits turn with minimal adult prompts.,d
,PSD,,Attention,,"Pupil sustains attention in own activity but acknowledges and responds to requests of others, e.g. accepts interruption to own activity.",e
,PSD,,Attention,,"Pupils maintain their attention to familiar or enjoyable joint or small group activities for appropriate periods of time, for example, 5 minutes listening and responding to a story. In familiar settings, they maintain their attention towards other people in one to one situations, communicating about matters of interest. They maintain their attention to adult directed or prepared tasks with one to one support.",PSD9
,PSD,,Attention,,Pupil shows co-operation by maintaining attention to prepared tasks with 1:1 support.,a
,PSD,,Attention,,Pupil maintains attention appropriately to other people in familiar setting. ,b
,PSD,,Attention,,Pupil communicates matters of interest in 1:1 situations in familiar settings.,c
,PSD,,Attention,,Pupil maintains attention appropriately in 1: 1 situations in familiar settings. ,d
,PSD,,Attention,,"In a small group, pupil maintains attention to familiar or enjoyable activities appropriately for short periods of time, e.g. 5 minutes.",e
